date,avg_temp,avg_max_temp,avg_min_temp
2022-01-01,41.32450027507793,68.19816614707501,40.49423253255089
2022-01-02,40.1124942833623,99.40406109942376,44.27845056251715
2022-01-03,38.86954669084315,59.11759746146873,37.90145965548505
2022-01-04,38.87103131749461,62.22295716342692,35.202771778257734
2022-01-05,39.024112385942715,50.539624175625626,35.90031619839191
2022-01-06,37.48895904744724,55.92069276565037,36.805349088941
2022-01-07,39.05522488038278,81.24961722488038,41.48423923444977
2022-01-08,37.82002186190564,63.14485334304972,38.500655857168866
2022-01-09,39.121659826721384,56.08611947104424,43.34425900592796
2022-01-10,38.38746953146159,59.88679245283019,43.58439108061751
2022-01-11,37.9807147369371,51.77996570706613,35.658180669614644
2022-01-12,39.93580457194085,54.217463021066784,34.84638278798742
2022-01-13,41.152843856197464,64.29137900196744,41.47080128778394
2022-01-14,41.379386514040434,58.43219459846182,42.42707923448399
2022-01-15,39.58433844200598,58.80399927450804,39.4135576312687
2022-01-16,39.29979094710053,82.00266315215417,41.70558989274679
2022-01-17,40.536579231045636,58.2289256198347,39.5288357887172
2022-01-18,39.799569313593544,106.32983400628085,34.883041722745624
2022-01-19,38.980601019586814,53.992648242554324,34.565003130310345
2022-01-20,37.7297338608164,82.10378529041542,32.5666067254091
2022-01-21,37.25281525454216,53.38463752473467,33.469571865443434
2022-01-22,37.72850777484769,50.29658088569611,41.09097026461763
2022-01-23,38.609557215743436,51.98016581632653,36.40671465014577
2022-01-24,38.946091015169195,58.73253747419441,39.27326990395836
2022-01-25,37.85143833153542,60.22691477885651,37.59802229413881
2022-01-26,37.66260978670013,97.00041226026167,36.22360638107189
2022-01-27,38.36802048701591,53.93625662683082,37.00614610477132
2022-01-28,38.49169723539411,55.48648116668158,35.2749306611792
2022-01-29,38.14892458480805,66.6513204465015,34.715346220165166
2022-01-30,38.896696015249155,55.842298266315694,36.94409548879004
2022-01-31,39.28639053254438,65.12938856015778,32.74732831271292
2022-02-01,39.50572556762092,58.687777079781036,36.90100511531902
2022-02-02,38.958468573477994,51.4574643593652,34.08426432350039
2022-02-03,38.19841695733834,52.278740720865756,34.40295143547088
2022-02-04,37.98178305023815,69.56667565381504,35.619502111979884
2022-02-05,38.39701249321022,98.99924859677712,35.15769509324642
2022-02-06,39.11883140708126,61.18179233168225,34.91070445789763
2022-02-07,40.72180525557956,52.52133729301657,37.04206263498921
2022-02-08,42.06953327958435,56.921356266236685,36.691006001970806
2022-02-09,43.18047908473364,58.16759027529499,37.4081784054344
2022-02-10,43.27763500763771,56.71233713720908,37.33041603019141
2022-02-11,42.59282886449523,79.97181032931437,34.52645312218824
2022-02-12,40.99988269265474,60.1186157733261,36.982773867532934
2022-02-13,39.85509927797834,69.83388989169674,40.39134476534295
2022-02-14,39.661401785714276,57.108196428571425,34.75517857142859
2022-02-15,40.564820788530476,59.468879928315424,41.123987455197124
2022-02-16,42.9270337922403,63.13518684069372,40.943009118541035
2022-02-17,43.63413529829547,71.75237038352275,41.47895951704547
2022-02-18,42.63107902053995,70.00873620952554,42.76725266840073
2022-02-19,41.43110282752978,83.50188198927172,39.08179834530412
2022-02-20,41.95953893628607,65.32907061172628,38.54105100744237
2022-02-21,42.95058212430594,74.97778971878918,46.35627798674548
2022-02-22,42.30463012717178,108.48666487551492,40.67352677771806
2022-02-23,41.76237455197133,72.7613082437276,42.20486559139785
2022-02-24,41.49781573033708,55.503415730337096,36.899550561797746
2022-02-25,42.09031126304427,56.01413278157611,42.00091759625763
2022-02-26,42.355887426236954,62.99353608715387,38.571048570131644
2022-02-27,44.12786855482935,79.06456971677561,41.20539215686276
2022-02-28,44.39031067086898,60.9738496172895,37.55663214768123
2022-03-01,44.997240259740245,71.54250541125543,42.4248106060606
2022-03-02,46.10160725509563,70.73913980425606,43.092924485947734
2022-03-03,45.735603130340934,67.85815417828552,43.8740127732302
2022-03-04,45.008528383104675,71.24955609362387,39.995731324544906
2022-03-05,45.77849696310398,59.13167437222376,43.02805729308314
2022-03-06,46.03505511524097,74.37740730618567,44.412881479457056
2022-03-07,45.35353835086774,61.87215178491143,44.28395827713336
2022-03-08,44.08840162089149,57.56084646555606,42.19224673570464
2022-03-09,43.72135496012189,58.969782238551836,42.55541715207457
2022-03-10,43.860543546506406,60.05488384608484,39.55336801506861
2022-03-11,43.617612559776234,60.86808625823333,40.471659298023994
2022-03-12,43.503466029235994,106.55819619380343,42.74298979498023
2022-03-13,44.32710502283105,58.38863926940641,40.60638356164383
2022-03-14,46.52861138680861,66.47465487683843,41.66081385906344
2022-03-15,47.90679235071261,67.47156774309941,49.27096337723253
2022-03-16,48.886073100468145,63.72057075981275,54.35431220741807
2022-03-17,49.11771958243342,60.113318934485235,44.901952843772506
2022-03-18,48.73618551141472,59.70610282221822,50.94302534603631
2022-03-19,48.545458698830416,67.04299159356725,54.26377010233918
2022-03-20,48.92280189711784,65.8672564757388,42.62578438526085
2022-03-21,49.67969945109331,60.21731305678035,46.82086745253307
2022-03-22,49.96013446884806,61.07602868668757,45.55724787090992
2022-03-23,50.035598386373835,61.90646346929627,45.830488570147914
2022-03-24,50.30822495291058,75.1919095883039,50.01270069064491
2022-03-25,50.328891488213046,68.06753644052546,49.94305380601043
